X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-2.211	  0.000	  0.292	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.007	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.407	 
-2.203	  0.000	  0.292	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.008	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.440	 
-2.194	  0.000	  0.292	 -0.000	 -0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.010	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.474	 
-2.186	  0.000	  0.292	 -0.000	 -0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.012	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.507	 
-2.177	  0.000	  0.292	 -0.000	 -0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.013	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.541	 
-2.169	  0.000	  0.292	 -0.000	 -0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.014	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.573	 
-2.160	  0.000	  0.292	 -0.000	 -0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.015	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.610	 
-2.152	  0.000	  0.292	 -0.000	 -0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.015	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.643	 
-2.144	  0.000	  0.292	 -0.000	 -0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.016	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.681	 
-2.135	  0.000	  0.292	 -0.000	 -0.001	  0.000	  0.000	  0.000	  0.000	  0.000	  0.016	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.714	 
